procedure_ID,procedure_Def
517 , OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W/O CC/MCC
617 ," AMPUTAT OF LOWER LIMB FOR ENDOCRINE,NUTRIT,& METABOL DIS W CC"
462 , BILATERAL OR MULTIPLE MAJOR JOINT PROCS OF LOWER EXTREMITY W/O MCC
001 , HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC
005 , LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT
006 , LIVER TRANSPLANT W/O MCC
011 ," TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC"
012 ," TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC"
013 ," TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC"
016 , AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC
020 , INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC
024 , CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC
026 , CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC
029 , SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS
040 , PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC
055 , NERVOUS SYSTEM NEOPLASMS W/O MCC
082 ," TRAUMATIC STUPOR & COMA, COMA >1 HR W MCC"
083 ," TRAUMATIC STUPOR & COMA, COMA >1 HR W CC"
085 ," TRAUMATIC STUPOR & COMA, COMA <1 HR W MCC"
093 , OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC
129 , MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE
130 , MAJOR HEAD & NECK PROCEDURES W/O CC/MCC
131 , CRANIAL/FACIAL PROCEDURES W CC/MCC
133 ," OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC"
134 ," OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC"
165 , MAJOR CHEST PROCEDURES W/O CC/MCC
167 , OTHER RESP SYSTEM O.R. PROCEDURES W CC
168 , OTHER RESP SYSTEM O.R. PROCEDURES W/O CC/MCC
196 , INTERSTITIAL LUNG DISEASE W MCC
197 , INTERSTITIAL LUNG DISEASE W CC
200 , PNEUMOTHORAX W CC
205 , OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC
219 , CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W MCC
228 , OTHER CARDIOTHORACIC PROCEDURES W MCC
235 , CORONARY BYPASS W/O CARDIAC CATH W MCC
267 , ENDOVASCULAR CARDIAC VALVE REPLACEMENT W/O MCC
273 , PERCUTANEOUS INTRACARDIAC PROCEDURES W MCC
274 , PERCUTANEOUS INTRACARDIAC PROCEDURES W/O MCC
306 , CARDIAC CONGENITAL & VALVULAR DISORDERS W MCC
326 ," STOMACH, ESOPHAGEAL & DUODENAL PROC W MCC"
328 ," STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC"
354 , HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W CC
355 , HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W/O CC/MCC
357 , OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC
374 , DIGESTIVE MALIGNANCY W MCC
375 , DIGESTIVE MALIGNANCY W CC
386 , INFLAMMATORY BOWEL DISEASE W CC
405 ," PANCREAS, LIVER & SHUNT PROCEDURES W MCC"
406 ," PANCREAS, LIVER & SHUNT PROCEDURES W CC"
407 ," PANCREAS, LIVER & SHUNT PROCEDURES W/O CC/MCC"
433 , CIRRHOSIS & ALCOHOLIC HEPATITIS W CC
444 , DISORDERS OF THE BILIARY TRACT W MCC
456 , SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC
457 , SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC
459 , SPINAL FUSION EXCEPT CERVICAL W MCC
463 ," WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO"
464 ," WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO"
466 , REVISION OF HIP OR KNEE REPLACEMENT W MCC
475 , AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS W CC
478 , BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC
492 ," LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W MCC"
501 , SOFT TISSUE PROCEDURES W CC
515 , OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W MCC
518 , BACK & NECK PROC EXC SPINAL FUSION W MCC OR DISC DEVICE/NEUROSTIM
519 , BACK & NECK PROC EXC SPINAL FUSION W CC
554 , BONE DISEASES & ARTHROPATHIES W/O MCC
580 ," OTHER SKIN, SUBCUT TISS & BREAST PROC W CC"
607 , MINOR SKIN DISORDERS W/O MCC
623 ," SKIN GRAFTS & WOUND DEBRID FOR ENDOC, NUTRIT & METAB DIS W CC"
643 , ENDOCRINE DISORDERS W MCC
644 , ENDOCRINE DISORDERS W CC
652 , KIDNEY TRANSPLANT
656 , KIDNEY & URETER PROCEDURES FOR NEOPLASM W MCC
657 , KIDNEY & URETER PROCEDURES FOR NEOPLASM W CC
659 , KIDNEY & URETER PROCEDURES FOR NON
660 , KIDNEY & URETER PROCEDURES FOR NON
674 , OTHER KIDNEY & URINARY TRACT PROCEDURES W CC
737 , UTERINE & ADNEXA PROC FOR OVARIAN OR ADNEXAL MALIGNANCY W CC
740 ," UTERINE,ADNEXA PROC FOR NON"
742 , UTERINE & ADNEXA PROC FOR NON
743 , UTERINE & ADNEXA PROC FOR NON
748 , FEMALE REPRODUCTIVE SYSTEM RECONSTRUCTIVE PROCEDURES
765 , CESAREAN SECTION W CC/MCC
775 , VAGINAL DELIVERY W/O COMPLICATING DIAGNOSES
808 , MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W MCC
809 , MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W CC
822 , LYMPHOMA & LEUKEMIA W MAJOR O.R. PROCEDURE W/O CC/MCC
827 , MYELOPROLIF DISORD OR POORLY DIFF NEOPL W MAJ O.R. PROC W CC
834 , ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W MCC
837 , CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC
838 , CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT
841 , LYMPHOMA & NON
846 , CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC
847 , CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC
856 , POSTOPERATIVE OR POST
857 , POSTOPERATIVE OR POST
863 , POSTOPERATIVE & POST
866 , VIRAL ILLNESS W/O MCC
880 , ACUTE ADJUSTMENT REACTION & PSYCHOSOCIAL DYSFUNCTION
907 , OTHER O.R. PROCEDURES FOR INJURIES W MCC
908 , OTHER O.R. PROCEDURES FOR INJURIES W CC
928 , FULL THICKNESS BURN W SKIN GRAFT OR INHAL INJ W CC/MCC
935 , NON
947 , SIGNS & SYMPTOMS W MCC
956 ," LIMB REATTACHMENT, HIP & FEMUR PROC FOR MULTIPLE SIGNIFICANT TRAUMA"
957 , OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA W MCC
958 , OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA W CC
963 , OTHER MULTIPLE SIGNIFICANT TRAUMA W MCC
964 , OTHER MULTIPLE SIGNIFICANT TRAUMA W CC
974 , HIV W MAJOR RELATED CONDITION W MCC
975 , HIV W MAJOR RELATED CONDITION W CC
983 , EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W/O CC/MCC
987 , NON
033 , VENTRICULAR SHUNT PROCEDURES W/O CC/MCC
068 , NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC
184 , MAJOR CHEST TRAUMA W CC
221 , CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W/O CC/MCC
227 , CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W/O MCC
250 , PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W MCC
302 , ATHEROSCLEROSIS W MCC
337 , PERITONEAL ADHESIOLYSIS W/O CC/MCC
373 , MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC
395 , OTHER DIGESTIVE SYSTEM DIAGNOSES W/O CC/MCC
436 , MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W CC
454 , COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC
465 ," WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO"
468 , REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC
471 , CERVICAL SPINAL FUSION W MCC
520 , BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC
546 , CONNECTIVE TISSUE DISORDERS W CC
556 , SIGNS & SYMPTOMS OF MUSCULOSKELETAL SYSTEM & CONN TISSUE W/O MCC
558 ," TENDONITIS, MYOSITIS & BURSITIS W/O MCC"
579 ," OTHER SKIN, SUBCUT TISS & BREAST PROC W MCC"
605 ," TRAUMA TO THE SKIN, SUBCUT TISS & BREAST W/O MCC"
645 , ENDOCRINE DISORDERS W/O CC/MCC
864 , FEVER
988 , NON
883 , DISORDERS OF PERSONALITY & IMPULSE CONTROL
311 , ANGINA PECTORIS
181 , RESPIRATORY NEOPLASMS W CC
041 , PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM
248 , PERC CARDIOVASC PROC W NON
707 , MAJOR MALE PELVIC PROCEDURES W CC/MCC
336 , PERITONEAL ADHESIOLYSIS W CC
713 , TRANSURETHRAL PROSTATECTOMY W CC/MCC
179 , RESPIRATORY INFECTIONS & INFLAMMATIONS W/O CC/MCC
261 , CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W CC
316 , OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC/MCC
562 ," FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W MCC"
581 ," OTHER SKIN, SUBCUT TISS & BREAST PROC W/O CC/MCC"
628 ," OTHER ENDOCRINE, NUTRIT & METAB O.R. PROC W MCC"
035 , CAROTID ARTERY STENT PROCEDURE W CC
036 , CAROTID ARTERY STENT PROCEDURE W/O CC/MCC
215 , OTHER HEART ASSIST SYSTEM IMPLANT
272 , OTHER MAJOR CARDIOVASCULAR PROCEDURES W/O CC/MCC
592 , SKIN ULCERS W MCC
620 , O.R. PROCEDURES FOR OBESITY W CC
696 , KIDNEY & URINARY TRACT SIGNS & SYMPTOMS W/O MCC
916 , ALLERGIC REACTIONS W/O MCC
061 , ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W MCC
084 ," TRAUMATIC STUPOR & COMA, COMA >1 HR W/O CC/MCC"
542 , PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W MCC
544 , PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W/O CC/MCC
560 ," AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC"
335 , PERITONEAL ADHESIOLYSIS W MCC
345 , MINOR SMALL & LARGE BOWEL PROCEDURES W CC
728 , INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM W/O MCC
007 , LUNG TRANSPLANT
028 , SPINAL PROCEDURES W MCC
031 , VENTRICULAR SHUNT PROCEDURES W MCC
032 , VENTRICULAR SHUNT PROCEDURES W CC
614 , ADRENAL & PITUITARY PROCEDURES W CC/MCC
535 , FRACTURES OF HIP & PELVIS W MCC
017 , AUTOLOGOUS BONE MARROW TRANSPLANT W/O CC/MCC
446 , DISORDERS OF THE BILIARY TRACT W/O CC/MCC
627 ," THYROID, PARATHYROID & THYROGLOSSAL PROCEDURES W/O CC/MCC"
571 , SKIN DEBRIDEMENT W CC
629 ," OTHER ENDOCRINE, NUTRIT & METAB O.R. PROC W CC"
573 , SKIN GRAFT FOR SKIN ULCER OR CELLULITIS W MCC
902 , WOUND DEBRIDEMENTS FOR INJURIES W CC
904 , SKIN GRAFTS FOR INJURIES W CC/MCC
014 , ALLOGENEIC BONE MARROW TRANSPLANT
545 , CONNECTIVE TISSUE DISORDERS W MCC
654 , MAJOR BLADDER PROCEDURES W CC
821 , LYMPHOMA & LEUKEMIA W MAJOR O.R. PROCEDURE W CC
226 , CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W MCC
489 , KNEE PROCEDURES W/O PDX OF INFECTION W/O CC/MCC
217 , CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W CC
225 , CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W/O MCC
458 , SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC
384 , UNCOMPLICATED PEPTIC ULCER W/O MCC
498 , LOCAL EXCISION & REMOVAL INT FIX DEVICES OF HIP & FEMUR W CC/MCC
642 , INBORN AND OTHER DISORDERS OF METABOLISM
823 , LYMPHOMA & NON
824 , LYMPHOMA & NON
909 , OTHER O.R. PROCEDURES FOR INJURIES W/O CC/MCC
714 , TRANSURETHRAL PROSTATECTOMY W/O CC/MCC
882 , NEUROSES EXCEPT DEPRESSIVE
741 ," UTERINE,ADNEXA PROC FOR NON"
949 , AFTERCARE W CC/MCC
453 , COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W MCC
380 , COMPLICATED PEPTIC ULCER W MCC
381 , COMPLICATED PEPTIC ULCER W CC
923 ," OTHER INJURY, POISONING & TOXIC EFFECT DIAG W/O MCC"
940 , O.R. PROC W DIAGNOSES OF OTHER CONTACT W HEALTH SERVICES W CC
369 , MAJOR ESOPHAGEAL DISORDERS W CC
152 , OTITIS MEDIA & URI W MCC
570 , SKIN DEBRIDEMENT W MCC
894 ," ALCOHOL/DRUG ABUSE OR DEPENDENCE, LEFT AMA"
072 , NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC
557 ," TENDONITIS, MYOSITIS & BURSITIS W MCC"
183 , MAJOR CHEST TRAUMA W MCC
734 ," PELVIC EVISCERATION, RAD HYSTERECTOMY & RAD VULVECTOMY W CC/MCC"
089 , CONCUSSION W CC
479 , BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W/O CC/MCC
565 , OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W CC
502 , SOFT TISSUE PROCEDURES W/O CC/MCC
185 , MAJOR CHEST TRAUMA W/O CC/MCC
626 ," THYROID, PARATHYROID & THYROGLOSSAL PROCEDURES W CC"
653 , MAJOR BLADDER PROCEDURES W MCC
843 , OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC
